agency,description,name,price
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,670'}",23275 W Los Huesos Way Congress Village,"$429,000"
West Usa Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,324'}",3219 S 196th Drive Custom Home,"$1,229,000"
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,467'}",700 W Azalea Drive Ocotillo East Parcel 7 Phase 1,"$1,840,000"
Realty One Group Mount. Desert,"{'Beds': '4', 'Baths': '2 F 1 3/4', 'Sq.Ft.': '2,262'}",1667 E Yorkshire Ave Highlands Ranch Unit 2,"$582,500"
Prestige Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,447'}",27255 S Bullard Drive Paso Del Sol,"$299,900"
David Weekley Homes,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,336'}",20714 W Rattler Road Verrado Victory District Phase 7A,"$1,204,393"
Exp Realty,"{'Beds': '7', 'Baths': '6', 'Sq.Ft.': '6,566'}",11432 E Starflower Court San Tan Vista,"$1,549,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,405'}",1710 E Center St Chino Meadows Unit 4,"$309,000"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,724'}",27193 S Bullard Drive Paso Del Sol,"$284,999"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,633'}",740 W Azalea Drive Ocotillo East - Santorini Shores,"$1,495,000"
Central Highlands Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,810'}",2981 N Yuma Dr None.,"$690,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,294'}",22980 W Sunset Lane None,"$199,000"
RE/MAX Solutions,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,261'}",4432 E Sagittarius Place Vasaro,"$1,495,000"
Realty One Group Mtn Desert,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '925'}",730 Judy Ave Chino Meadows 2,"$205,000"
Peterson Agency Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '768'}",22010 W Sunrise Road None,"$180,000"
Hague Partners,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,177'}",1655 Purple Sage Dr Chino Meadows 2,"$250,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,980'}",2401 N Koolridge Way Metes And Bounds,"$599,000"
